Date time,Purpose,Amount (BTC),* Exchange rate,Amount (EUR)
2021-02-06 16:03:25 GMT,Hashpower mining,0.00002676,31444.87,0.84
2021-02-06 16:03:25 GMT,Hashpower mining fee,-0.00000054,31444.87,-0.02
2021-02-06 20:09:35 GMT,Hashpower mining,0.00002027,31444.87,0.64
2021-02-06 20:09:35 GMT,Hashpower mining fee,-0.00000041,31444.87,-0.01
2021-02-07 00:01:13 GMT,Hashpower mining,0.00002376,32575.93,0.77
2021-02-07 00:01:13 GMT,Hashpower mining fee,-0.00000048,32575.93,-0.02
2021-02-07 04:00:28 GMT,Hashpower mining,0.00002098,32575.93,0.68
2021-02-07 04:00:28 GMT,Hashpower mining fee,-0.00000042,32575.93,-0.01
2021-02-07 08:00:57 GMT,Hashpower mining,0.00002035,32575.93,0.66
2021-02-07 08:00:57 GMT,Hashpower mining fee,-0.00000041,32575.93,-0.01
2021-02-07 12:01:02 GMT,Hashpower mining,0.00001964,32575.93,0.64
2021-02-07 12:01:02 GMT,Hashpower mining fee,-0.00000039,32575.93,-0.01
2021-02-07 16:00:26 GMT,Hashpower mining,0.00002203,32575.93,0.72
2021-02-07 16:00:26 GMT,Hashpower mining fee,-0.00000044,32575.93,-0.01
2021-02-07 20:08:41 GMT,Hashpower mining,0.00002379,32575.93,0.77
2021-02-07 20:08:41 GMT,Hashpower mining fee,-0.00000048,32575.93,-0.02
2021-02-08 00:00:28 GMT,Hashpower mining,0.00002138,32277.11,0.69
2021-02-08 00:00:28 GMT,Hashpower mining fee,-0.00000043,32277.11,-0.01
2021-02-08 04:00:59 GMT,Hashpower mining,0.00002024,32277.11,0.65
2021-02-08 04:00:59 GMT,Hashpower mining fee,-0.00000040,32277.11,-0.01
2021-02-08 08:01:02 GMT,Hashpower mining,0.00002368,32277.11,0.76
2021-02-08 08:01:02 GMT,Hashpower mining fee,-0.00000047,32277.11,-0.02
2021-02-08 12:27:11 GMT,Hashpower mining,0.00002025,32277.11,0.65
2021-02-08 12:27:11 GMT,Hashpower mining fee,-0.00000041,32277.11,-0.01
2021-02-08 16:00:48 GMT,Hashpower mining,0.00001673,32277.11,0.54
2021-02-08 16:00:48 GMT,Hashpower mining fee,-0.00000033,32277.11,-0.01
2021-02-08 20:35:25 GMT,Hashpower mining,0.00002422,32277.11,0.78
2021-02-08 20:35:25 GMT,Hashpower mining fee,-0.00000048,32277.11,-0.02
2021-02-09 00:00:30 GMT,Hashpower mining,0.00002963,38423.07,1.14
2021-02-09 00:00:30 GMT,Hashpower mining fee,-0.00000059,38423.07,-0.02
2021-02-09 04:00:18 GMT,Hashpower mining,0.00002450,38423.07,0.94
2021-02-09 04:00:18 GMT,Hashpower mining fee,-0.00000049,38423.07,-0.02
2021-02-09 08:47:34 GMT,Hashpower mining,0.00001771,38423.07,0.68
2021-02-09 08:47:34 GMT,Hashpower mining fee,-0.00000035,38423.07,-0.01
2021-02-09 12:07:37 GMT,Hashpower mining,0.00001671,38423.07,0.64
2021-02-09 12:07:37 GMT,Hashpower mining fee,-0.00000033,38423.07,-0.01
2021-02-09 16:03:05 GMT,Hashpower mining,0.00003140,38423.07,1.21
2021-02-09 16:03:05 GMT,Hashpower mining fee,-0.00000063,38423.07,-0.02
2021-02-09 20:13:36 GMT,Hashpower mining,0.00002546,38423.07,0.98
2021-02-09 20:13:36 GMT,Hashpower mining fee,-0.00000051,38423.07,-0.02
2021-02-10 00:01:39 GMT,Hashpower mining,0.00001840,38285.00,0.70
2021-02-10 00:01:39 GMT,Hashpower mining fee,-0.00000037,38285.00,-0.01
2021-02-10 04:10:47 GMT,Hashpower mining,0.00002225,38285.00,0.85
2021-02-10 04:10:47 GMT,Hashpower mining fee,-0.00000045,38285.00,-0.02
2021-02-10 08:05:19 GMT,Hashpower mining,0.00002117,38285.00,0.81
2021-02-10 08:05:19 GMT,Hashpower mining fee,-0.00000042,38285.00,-0.02
2021-02-10 12:00:30 GMT,Hashpower mining,0.00002033,38285.00,0.78
2021-02-10 12:00:30 GMT,Hashpower mining fee,-0.00000041,38285.00,-0.02
2021-02-10 16:00:20 GMT,Hashpower mining,0.00002172,38285.00,0.83
2021-02-10 16:00:20 GMT,Hashpower mining fee,-0.00000043,38285.00,-0.02
2021-02-10 20:56:11 GMT,Hashpower mining,0.00001539,38285.00,0.59
2021-02-10 20:56:11 GMT,Hashpower mining fee,-0.00000031,38285.00,-0.01
2021-02-11 00:00:32 GMT,Hashpower mining,0.00001741,37185.27,0.65
2021-02-11 00:00:32 GMT,Hashpower mining fee,-0.00000035,37185.27,-0.01
2021-02-11 04:00:32 GMT,Hashpower mining,0.00001957,37185.27,0.73
